seatPitch,in,31 in,Roskam
seatHeight,in,42 in,Roskam
row2Seater,in,41 in,Roskam
row3Seater,in,60.5 in,Roskam
aisleWidth,in,18 in,Above FAR req
aisleHeight,in,80 in,Above FAR req
systemsSpaceTop,cm,10 cm,guesstimated
headroom,in,66 in,FAR req
lavSize,m,1 m,historical
fusDiamOuter,ft,13.7 ft,historical
fusDiamInner,in,156.4 in,outer - 2*wall thickness
wallThickness,in,4 in,historical
floorThickness,in,8.22 in,0.05*fusdiameter
frontFR,,1.3,Multiply with diameter for front size
aftFR,,2,Multiply with diameter for aft size
upsweepAngle,,15,calculated for Clmax angle
topWidthULD,in,96 in,documentation
baseWidthULD,in,61.5 in,documentation
depthULD,in,60.4 in,documentation
heightULD,in,45 in,documentation
upperHeightULD,in,25 in,documentation
galleyLength,in,35 in,fielding
halfGalleyLength,in,18 in,fielding
walkwaySideways,m,1 m,fielding
cockpitDoor,m,0.5 m,fielding
wardrobe,in,22 in,fielding
typeADoor,in,42 in,requirements
typeBDoor,in,32 in,requirements
typeCDoor,in,30 in,requirements
type1Door,in,24 in,requirements
type2Door,in,20 in,requirements
type3Door,in,20 in,requirements
type4Door,in,19 in,requirements
seatWidth,in,17.5 in,Roskam
d17,m,frontFR * fusDiamOuter,
d34,m,systemsSpaceTop,
d35,m,aisleHeight,
d36,m,floorThickness,
d37,m,topWidthULD * 1.05 / 2,
d38,m,topWidthULD * 1.05,
d39,m,upperHeightULD * 1.05,
d40,m,upperHeightULD * 1.05,
d41,m,heightULD * 1.05,
d42,m,1.05 * baseWidthULD / 2,
d43,m,baseWidthULD * 1.05,
d44,m,frontFR * fusDiamOuter,
d45,m,fusDiamInner / 2,
d69,m,typeBDoor + 2 in,
d70,m,lavSize,
d71,m,lavSize,
d72,m,0.05 m,
d73,m,fusDiamInner,
d74,m,0.05 m,
d75,m,fusDiamInner,
d78,m,0.75 m,
d79,m,0.5 m,
d80,m,0.5 m,
d81,m,1.5 m,
d82,m,halfGalleyLength,
d86,m,lavSize,
d87,m,lavSize,
d88,m,aisleWidth / 2,
d89,m,aisleWidth,
d96,m,galleyLength,
d97,m,20 in,
d106,m,15 * seatPitch + 2 * seatPitch / 3 + 20 cm,
d108,m,lavSize,
d109,m,wallThickness,
d110,m,typeADoor + 2 in,
d111,m,seatWidth,
d114,m,12 * seatPitch + 15 cm,
d115,m,wallThickness,
d116,m,type3Door + ( 1 m - type3Door ),
d119,m,32.098 m + 5 cm + 13 * seatPitch,
d120,m,seatPitch + 15 cm,
d121,m,lavSize,
d122,m,seatWidth,
d123,m,18 in,
d124,m,walkwaySideways,
d125,m,galleyLength,
d126,m,2.2 m,
d247,m,type2Door / 2,
d248,m,type2Door / 2,
d249,m,typeCDoor / 2,
d250,m,typeCDoor,
d100,,15,
d101,,1,
d102,m,seatPitch,
d103,m,0.00 m,
d127,m,42.3842 m - 0.45 m,
d128,m,fusDiamOuter,
d129,m,fusDiamInner,
d130,m,12.6 m,
d296,m,3.3762 m,
d297,m,wallThickness,
d298,m,wallThickness,
d136,m,36.538 m,
d137,deg,0.0 deg,
d138,m,36.538 m,
d139,deg,0.0 deg,
d140,m,36.538 m,
d141,deg,0.0 deg,
d142,m,14.5 in,
d143,m,14.5 in,
d146,m,50 in,
d147,m,wallThickness,
d148,m,wallThickness,
d149,m,wallThickness,
d150,m,wallThickness,
d164,m,0.15 m,
d165,m,frontFR * fusDiamOuter,
d166,m,fusDiamOuter / 2 + 0.15 m,
d167,m,fusDiamOuter,
d168,m,fusDiamInner / 2 + 0.15 m,
d169,m,fusDiamInner,
d170,m,1.914 m,
d171,m,0.75 m,
d172,m,50 in,
d173,m,0.1 m,
d174,m,32 in,
d175,deg,15 deg,
d176,deg,15 deg,
d177,m,24 in,
d178,m,wallThickness,
d180,m,-0.15 m,
d181,m,frontFR * fusDiamOuter,
d182,m,fusDiamOuter / 2,
d183,m,fusDiamOuter,
d184,m,fusDiamInner / 2,
d185,m,fusDiamInner,
d186,m,159.048 in,
d187,m,1.914 m + 0.75 m,
d188,m,0.25 m + 21.5 in + 15 in,
d189,m,0.25 m + 21.5 in + 15 in,
d190,m,0.25 m + 21.5 in,
d191,m,0.25 m + 21.5 in,
d192,m,159.048 in + 0.45 m,
d193,m,0.62 m,
d251,m,0.12 m,
d252,m,1.632 m,
d253,m,1.632 m - 2 * wallThickness,
d196,,1,
d197,deg,0.0 deg,
d195,m,fusDiamInner,
d261,m,0.816 m,
d273,m,0.93 m,
d274,m,0.186 m,
d275,m,0.186 m,
d276,m,0.186 m,
d277,m,0.186 m,
d278,m,0.307901887 m,
d279,m,0.498715568 m,
d280,m,0.64586282 m,
d281,m,0.75568011 m,
d229,,15,
d230,,1,
d231,m,seatPitch,
d232,m,0.00 m,
d235,,12,
d236,,1,
d237,m,seatPitch,
d238,m,0.00 m,
d241,,13,
d242,,1,
d243,m,seatPitch,
d244,m,0.00 m,
d254,,1.05,
d255,deg,0 deg,
d258,,1.05,
d259,deg,0.0 deg,
d262,deg,360.0 deg,
d285,m,32 in,
d286,deg,21 deg,
d287,m,5 m,
d288,deg,21 deg,
d289,m,15 m,
d290,m,-0.209 m,
d291,deg,0.0 deg,
d294,m,-0.50 m,
d295,deg,0.0 deg,
