seatPitch,in,31 in,Roskam
seatHeight,in,42 in,Roskam
row2Seater,in,41 in,Roskam
row3Seater,in,60.5 in,Roskam
aisleWidth,in,16 in,Above FAR req
aisleHeight,in,2 m,Above FAR req
systemsSpaceTop,cm,10 cm,guesstimated
headroom,in,70 in,FAR req
lavSize,m,1 m,historical
fusDiamOuter,ft,16.85 ft,historical
fusDiamInner,in,fusDiamOuter - 2 * wallThickness,outer - 2*wall thickness
wallThickness,in,4 in,historical
floorThickness,in,0.05 * fusDiamOuter,0.05*fusdiameter
frontFR,,1.5,Multiply with diameter for front size
aftFR,,2,Multiply with diameter for aft size
upsweepAngle,,15,calculated for Clmax angle
topWidthULD,in,125 in,documentation
baseWidthULD,in,96 in,documentation
depthULD,in,60.4 in,documentation
heightULD,in,64 in,documentation
upperHeightULD,in,47 in,documentation
galleyLength,in,35 in,fielding
halfGalleyLength,in,18 in,fielding
walkwaySideways,m,1 m,fielding
cockpitDoor,m,0.5 m,fielding
wardrobe,in,22 in,fielding
typeADoor,in,42 in,requirements
typeBDoor,in,32 in,requirements
typeCDoor,in,30 in,requirements
type1Door,in,24 in,requirements
type2Door,in,20 in,requirements
type3Door,in,20 in,requirements
type4Door,in,19 in,requirements
seatWidth,in,17.5 in,Roskam
d17,m,frontFR * fusDiamOuter,
d34,m,systemsSpaceTop,
d35,m,aisleHeight,
d36,m,floorThickness,
d37,m,topWidthULD * 1.05 / 2,
d38,m,topWidthULD * 1.05,
d39,m,upperHeightULD * 1.05,
d40,m,upperHeightULD * 1.05,
d41,m,heightULD * 1.05,
d42,m,1.05 * baseWidthULD / 2,
d43,m,baseWidthULD * 1.05,
d44,m,frontFR * fusDiamOuter,
d45,m,fusDiamInner / 2,
d69,m,typeBDoor + 2 in,
d70,m,lavSize,
d71,m,lavSize,
d72,m,0.05 m,
d73,m,fusDiamInner,
d74,m,0.05 m,
d75,m,fusDiamInner,
d78,m,0.75 m,
d79,m,0.5 m,
d80,m,0.5 m,
d81,m,1.5 m,
d82,m,halfGalleyLength,
d86,m,lavSize,
d87,m,lavSize,
d88,m,aisleWidth / 2,
d89,m,aisleWidth,
d96,m,galleyLength,
d97,m,20 in,
d106,m,15 * seatPitch + 2 * seatPitch / 3 + 20 cm,
d108,m,lavSize,
d109,m,wallThickness,
d110,m,typeADoor + 2 in,
d111,m,seatWidth,
d114,m,12 * seatPitch + 15 cm,
d115,m,wallThickness,
d116,m,type3Door + ( 1 m - type3Door ),
d118,m,type3Door,
d119,m,32.098 m + 5 cm + 13 * seatPitch,
d120,m,seatPitch + 15 cm,
d121,m,lavSize,
d122,m,seatWidth,
d123,m,18 in,
d124,m,walkwaySideways,
d125,m,galleyLength,
d126,m,2.2 m,
d100,,15,
d101,,1,
d102,m,seatPitch,
d103,m,0.00 m,
d127,m,42.3842 m - 0.45 m,
d128,m,fusDiamOuter,
d129,m,fusDiamInner,
d130,m,aftFR * fusDiamOuter,
d131,m,fusDiamOuter / 2,
d132,m,7.3148 ft,
d133,m,fusDiamOuter / 2,
d134,m,wallThickness,
d135,m,wallThickness,
d136,m,36.538 m,
d137,deg,0.0 deg,
d138,m,36.538 m,
d139,deg,0.0 deg,
d140,m,36.538 m,
d141,deg,0.0 deg,
d142,m,14.5 in,
d143,m,14.5 in,
d146,m,50 in,
d147,m,wallThickness,
d148,m,wallThickness,
d149,m,wallThickness,
d150,m,wallThickness,
d164,m,0.15 m,
d165,m,frontFR * fusDiamOuter,
d166,m,fusDiamOuter / 2 + 0.15 m,
d167,m,fusDiamOuter,
d168,m,fusDiamInner / 2 + 0.15 m,
d169,m,fusDiamInner,
d170,m,1.914 m,
d171,m,0.75 m,
d172,m,50 in,
d173,m,0.1 m,
d174,m,32 in,
d175,deg,15 deg,
d176,deg,15 deg,
d177,m,24 in,
d178,m,wallThickness,
d180,m,-0.15 m,
d181,m,frontFR * fusDiamOuter,
d182,m,fusDiamOuter / 2,
d183,m,fusDiamOuter,
d184,m,fusDiamInner / 2,
d185,m,fusDiamInner,
d186,m,159.048 in,
d187,m,1.914 m + 0.75 m,
d188,m,0.25 m + 21.5 in + 15 in,
d189,m,0.25 m + 21.5 in + 15 in,
d190,m,0.25 m + 21.5 in,
d191,m,0.25 m + 21.5 in,
d192,m,159.048 in + 0.45 m,
d193,m,0.5 m,
d194,m,1.632 m - wallThickness,
d196,,1,
d197,deg,0.0 deg,
d195,m,fusDiamInner,
d202,m,1.35 m,
d209,m,0.15 m,
d210,m,0.15 m,
d211,m,0.15 m,
d212,m,0.15 m,
d213,m,0.15 m,
d214,m,0.15 m,
d215,m,0.15 m,
d216,m,0.15 m,
d217,m,0.15 m,
d218,m,0.201101654 m,
d219,m,0.33193028 m,
d221,m,0.440784594 m,
d222,m,0.534719942 m,
d223,m,0.616385094 m,
d224,m,0.686705863 m,
d225,m,0.74543832 m,
d226,m,0.790831287 m,
d227,m,0.816 m,
d228,deg,360.0 deg,
d229,,15,
d230,,1,
d231,m,seatPitch,
d232,m,0.00 m,
d235,,12,
d236,,1,
d237,m,seatPitch,
d238,m,0.00 m,
d241,,13,
d242,,1,
d243,m,seatPitch,
d244,m,0.00 m,
stowageHeight,in,18 in,Online
stowageWidth,in,2 ft,Online
d245,m,frontFR * fusDiamOuter,
d262,m,fusDiamInner / 2,
d263,m,systemsSpaceTop,
d266,m,stowageHeight,
d267,m,stowageHeight * 1 / 3,
d268,m,stowageWidth,
d269,m,stowageHeight,
d270,m,headroom,
d271,m,floorThickness,
d273,m,row3Seater,
d274,m,aisleWidth,
d275,m,row2Seater,
d276,m,seatHeight,
d277,m,topWidthULD * 1.05 / 2,
d278,m,upperHeightULD * 1.05,
d279,m,topWidthULD * 1.05,
d280,m,upperHeightULD * 1.05,
d281,m,heightULD * 1.05,
d282,m,baseWidthULD * 1.05 / 2,
d283,m,baseWidthULD * 1.05,
d284,m,-0.021 m,
d285,m,fusDiamOuter * frontFR,
d289,m,35.09 m,
d291,m,fusDiamInner,
d292,m,25.09 m,
d293,m,aisleWidth + row3Seater / 2,
d294,m,lavSize,
d295,m,aisleWidth + row3Seater / 2,
d296,m,lavSize,
d299,m,galleyLength,
d306,m,0.406 m,
d307,m,35.09 m,
d308,m,0.406 m,
d309,m,35.09 m,
d310,m,20 in,
d311,m,2 in + typeCDoor,
d312,m,seatPitch * 12,
d313,m,seatPitch,
d314,m,6 in,
d315,m,lavSize,
d316,m,lavSize,
d317,m,wallThickness,
d318,m,2 in + typeADoor,
d319,m,seatPitch * 12,
d320,m,6 in,
d321,m,lavSize,
d322,m,lavSize,
d323,m,0.102 m,
d324,m,type2Door + 2 in,
d326,m,seatPitch,
d327,m,11 * seatPitch,
d328,m,6 in,
d329,m,lavSize,
d330,m,lavSize,
d332,m,seatWidth,
d333,m,18 in,
d334,m,walkwaySideways,
d335,m,fusDiamInner,
d336,m,galleyLength,
d337,m,row3Seater,
d338,m,galleyLength,
d339,m,walkwaySideways,
d341,m,fusDiamInner / 2 - row3Seater / 3,
d342,m,wallThickness,
d343,m,typeCDoor + 2 in,
d344,m,1 m,
d345,m,0.2 m,
d346,m,fusDiamInner / 2 - row3Seater / 3,
d347,m,galleyLength,
d348,m,fusDiamInner / 2 - row3Seater / 3,
d349,m,seatWidth,
d350,m,18 in,
d351,m,seatWidth,
d352,m,18 in,
d353,m,seatWidth,
d354,m,18 in,
d355,m,seatWidth,
d356,m,18 in,
d357,m,wallThickness,
d358,m,typeCDoor,
d359,m,1.3 m,
d360,m,50 in + 0.1 m,
d361,m,0.5 m + 21.5 in + 24 in,
d362,m,0.5 m + 21.5 in + 24 in,
d363,m,( frontFR * fusDiamOuter ) - ( 2.889 m + 1.3 m + 50 in + 0.1 m ),
d364,m,( frontFR * fusDiamOuter ) - ( 2.889 m + 1.3 m ),
d365,m,40 in,
d366,deg,15 deg,
d367,deg,15 deg,
d368,m,2.1 m,
d369,m,0.4 m,
d370,m,2 m,
d371,m,2.000 m - wallThickness * 2,
d372,,1.0,
d373,deg,5.0 deg,
d374,m,fusDiamInner,
d375,,1,
d376,deg,5.0 deg,
d377,m,32.201 m,
d378,deg,0.0 deg,
d379,m,32.201 m,
d380,deg,0.0 deg,
d381,m,32.201 m,
d382,deg,0.0 deg,
d383,m,frontFR * fusDiamOuter + 32.201 m,
d384,m,fusDiamOuter,
d385,m,fusDiamInner,
d386,m,frontFR * fusDiamOuter + 32.201 m + aftFR * fusDiamOuter,
d387,m,fusDiamOuter / 2,
d388,m,fusDiamOuter / 2,
d389,m,0.26794919243 * aftFR * fusDiamOuter,
d390,m,wallThickness,
d391,m,wallThickness,
d392,m,0.42 m,
d393,m,0.42 m,
d394,m,0.42 m,
d395,m,0.42 m,
d396,m,0.377330743 m,
d397,m,0.611171039 m,
d398,m,0.791498554 m,
d399,m,0.926078566 m,
d400,deg,360.0 deg,
